year,month,day,hour,doy,wind_u
2019,6,17,21,168,2.320131258780485
2019,6,17,22,168,2.3218480623477395
2019,6,17,23,168,2.3188772291525814
2019,6,18,0,169,2.3199691162213556
2019,6,18,1,169,2.3260248546709175
2019,6,18,2,169,2.3144581767704686
2019,6,18,3,169,2.3028365611558677
2019,6,18,4,169,2.2765110952555894
2019,6,18,5,169,2.2483429268597908
2019,6,18,6,169,2.235184581296546
2019,6,18,7,169,2.250012041439066
2019,6,18,8,169,2.2930496362868062
2019,6,18,9,169,2.33569351084979
2019,6,18,10,169,2.3361162260392385
2019,6,18,11,169,2.33359901049774
2019,6,18,12,169,2.339850464553969
2019,6,18,13,169,2.3467420955848315
2019,6,18,14,169,2.30963853688933
2019,6,18,15,169,2.271285526708771
2019,6,18,16,169,2.2465074730904444
2019,6,18,17,169,2.2197287710484104
2019,6,18,18,169,2.1806753050124112
2019,6,18,19,169,2.158856257720223
2019,6,18,20,169,2.153911863446531
2019,6,18,21,169,2.1435992151739858
2019,6,18,22,169,2.125067274445234
2019,6,18,23,169,2.1046945387804823
2019,6,19,0,170,2.1014299414193722
2019,6,19,1,170,2.1253473041826485
2019,6,19,2,170,2.1329619002712774
2019,6,19,3,170,2.1134769428067477
2019,6,19,4,170,2.089405830746226
2019,6,19,5,170,2.0909414161591595
2019,6,19,6,170,2.079967989269173
2019,6,19,7,170,2.0504279040671864
2019,6,19,8,170,2.0186487255015964
2019,6,19,9,170,1.9895828595960758
2019,6,19,10,170,1.9735620302183619
2019,6,19,11,170,1.9913271797093943
2019,6,19,12,170,2.0009140731183765
2019,6,19,13,170,1.9764936869098946
2019,6,19,14,170,1.987523839851082
2019,6,19,15,170,1.989363490251371
2019,6,19,16,170,2.0007333080094414
2019,6,19,17,170,2.0266501746607135
2019,6,19,18,170,2.0218377835057475
2019,6,19,19,170,2.022798811991506
2019,6,19,20,170,1.995210160177632
2019,6,19,21,170,1.966177867319649
2019,6,19,22,170,1.9622967467219425
2019,6,19,23,170,1.9674483019594171
2019,6,20,0,171,1.9685600276471904
2019,6,20,1,171,1.9660264070938265
2019,6,20,2,171,1.9769548155791603
2019,6,20,3,171,1.980054981309718
2019,6,20,4,171,1.9909646957117637
2019,6,20,5,171,2.0166496031255043
2019,6,20,6,171,2.0544093622956012
2019,6,20,7,171,2.0570250079082895
2019,6,20,8,171,2.052701333502135
2019,6,20,9,171,2.0421708419325006
2019,6,20,10,171,2.008949929882321
2019,6,20,11,171,1.9562597023556683
2019,6,20,12,171,1.9507983594522802
2019,6,20,13,171,1.9889228440024427
2019,6,20,14,171,2.0188661872867817
2019,6,20,15,171,2.0384003597869063
2019,6,20,16,171,2.042999485787629
2019,6,20,17,171,2.063406557523726
2019,6,20,18,171,2.0598760463656434
2019,6,20,19,171,2.035071668425952
2019,6,20,20,171,2.007818365575548
2019,6,20,21,171,2.0082464219316503
2019,6,20,22,171,2.051962726456312
2019,6,20,23,171,2.0791420159973715
2019,6,21,0,172,2.0734468062969333
2019,6,21,1,172,2.0678603274890874
2019,6,21,2,172,2.0818663925026524
2019,6,21,3,172,2.087398696620154
2019,6,21,4,172,2.08811364992794
2019,6,21,5,172,2.0847845770550815
2019,6,21,6,172,2.1131564728075274
2019,6,21,7,172,2.1071388855483484
2019,6,21,8,172,2.0802613719232217
2019,6,21,9,172,2.0393949613202027
2019,6,21,10,172,1.9539523183612784
2019,6,21,11,172,1.9024470668079354
2019,6,21,12,172,1.9306369813822526
2019,6,21,13,172,2.00052919914089
2019,6,21,14,172,1.9903187960585722
2019,6,21,15,172,1.9881064085282372
2019,6,21,16,172,1.9899731462736985
2019,6,21,17,172,1.9716651530324978
2019,6,21,18,172,1.9371596904021076
2019,6,21,19,172,1.877198609012181
2019,6,21,20,172,1.8699060089703883
2019,6,21,21,172,1.901437967822294
2019,6,21,22,172,1.9464857488913372
2019,6,21,23,172,1.962093019365295
2019,6,22,0,173,1.95972840858533
2019,6,22,1,173,1.9457593502264368
2019,6,22,2,173,1.9610068549750785
2019,6,22,3,173,1.9963146371392322
2019,6,22,4,173,2.018293537919127
2019,6,22,5,173,2.01363527757331
2019,6,22,6,173,1.9967136985906428
2019,6,22,7,173,1.9888511197645218
2019,6,22,8,173,2.001866779875733
2019,6,22,9,173,2.0131824229434585
2019,6,22,10,173,2.0196841488086026
2019,6,22,11,173,2.021940791719783
2019,6,22,12,173,2.0157889122704544
2019,6,22,13,173,2.012031783041494
2019,6,22,14,173,2.037148619230426
2019,6,22,15,173,2.0317242829817097
2019,6,22,16,173,2.0130664433246928
2019,6,22,17,173,2.0252568931879105
2019,6,22,18,173,2.0190466424172957
2019,6,22,19,173,2.0118101246253666
2019,6,22,20,173,2.0176495458254546
2019,6,22,21,173,2.0350136786165693
2019,6,22,22,173,2.0396776616409436
2019,6,22,23,173,2.0446628776883466
2019,6,23,0,174,2.0440803090111914
2019,6,23,1,174,2.034628351593696
2019,6,23,2,174,2.0234771401565235
2019,6,23,3,174,2.035897641697753
2019,6,23,4,174,2.0428072037880964
2019,6,23,5,174,2.0591462140936083
2019,6,23,6,174,2.06408755627207
2019,6,23,7,174,2.0719859972171517
2019,6,23,8,174,2.1113023249548926
2019,6,23,9,174,2.1326715697124596
2019,6,23,10,174,2.1228518348196683
2019,6,23,11,174,2.118934089079194
2019,6,23,12,174,2.0837342747838257
2019,6,23,13,174,1.9868752696145637
2019,6,23,14,174,1.9679381632439403
2019,6,23,15,174,1.955965556677812
2019,6,23,16,174,1.9470290218423973
2019,6,23,17,174,1.9184030391619977
2019,6,23,18,174,1.9240517044101684
2019,6,23,19,174,1.9289857978624576
2019,6,23,20,174,1.9429266243404668
2019,6,23,21,174,1.950421044179388
2019,6,23,22,174,1.973089336969511
2019,6,23,23,174,2.005380122998143
2019,6,24,0,175,2.045758579876159
2019,6,24,1,175,2.0729836508456785
2019,6,24,2,175,2.1434267717934525
2019,6,24,3,175,2.1861595386300294
2019,6,24,4,175,2.193661588707027
2019,6,24,5,175,2.2026599284708634
2019,6,24,6,175,2.2193358137874606
2019,6,24,7,175,2.273302580144343
2019,6,24,8,175,2.280672627102614
2019,6,24,9,175,2.2324293023270543
2019,6,24,10,175,2.2050596383459813
2019,6,24,11,175,2.1605738243112858
2019,6,24,12,175,2.21695670555515
2019,6,24,13,175,2.4437933827536256
2019,6,24,14,175,2.4306007011190354
2019,6,24,15,175,2.3619304659883795
